x,y,z,radial,toroidal angle
0.489664812,-0.11248556,-1.473003221,0.502418779,-0.225801972
0.489319947,-0.11409341,-1.472976663,0.502445337,-0.229074464
0.488969804,-0.115700207,-1.472950103,0.502471897,-0.232346957
0.488614386,-0.117305936,-1.472923541,0.502498459,-0.235619449
0.488253696,-0.118910577,-1.472896979,0.502525021,-0.238891941
0.487887738,-0.120514114,-1.472870414,0.502551586,-0.242164434
0.487516514,-0.12211653,-1.472843849,0.502578151,-0.245436926
0.487140028,-0.123717807,-1.472817282,0.502604718,-0.248709418
0.486758284,-0.125317927,-1.472790714,0.502631286,-0.251981911
0.486371286,-0.126916875,-1.472764144,0.502657856,-0.255254403
0.485979036,-0.128514632,-1.472737573,0.502684427,-0.258526895
0.485581538,-0.130111181,-1.472711,0.502711,-0.261799388
0.485178797,-0.131706505,-1.472684426,0.502737574,-0.26507188
0.484770815,-0.133300587,-1.472657851,0.502764149,-0.268344372
0.484357598,-0.13489341,-1.472631274,0.502790726,-0.271616865
0.483939148,-0.136484955,-1.472604696,0.502817304,-0.274889357
0.483515469,-0.138075207,-1.472578116,0.502843884,-0.278161849
0.483086566,-0.139664148,-1.472551535,0.502870465,-0.281434342
0.482652442,-0.141251761,-1.472524953,0.502897047,-0.284706834
0.482213103,-0.142838028,-1.472498369,0.502923631,-0.287979327
0.507557786,0.013290868,-1.482397827,0.507731773,0.026179939
0.507625007,0.011630427,-1.482371375,0.507758225,0.022907446
0.507686797,0.009969688,-1.482344922,0.507784678,0.019634954
0.507743155,0.008308669,-1.482318468,0.507811132,0.016362462
0.50779408,0.006647389,-1.482292012,0.507837588,0.013089969
0.50783957,0.004985864,-1.482265555,0.507864045,0.009817477
0.507879625,0.003324112,-1.482239097,0.507890503,0.006544985
0.507914244,0.001662151,-1.482212637,0.507916963,0.003272492
0.507943424,0,-1.482186176,0.507943424,0
0.507967167,-0.001662325,-1.482159713,0.507969887,-0.003272492
0.507985471,-0.003324805,-1.482133249,0.507996351,-0.006544985
0.507998334,-0.004987422,-1.482106784,0.508022816,-0.009817477
0.508005757,-0.00665016,-1.482080317,0.508049283,-0.013089969
0.508007739,-0.008312999,-1.482053849,0.508075751,-0.016362462
0.508004279,-0.009975923,-1.482027379,0.508102221,-0.019634954
0.507995377,-0.011638913,-1.482000908,0.508128692,-0.022907446
